any,geo,municipis,nivell de formació assolit,sexe,concepte,estat,valor,Codes,Names,valor en %
2020,080060,Arenys de Mar,educació superior,total,població de 25 a 64 anys,,3740,34090808006,Arenys de Mar,42.96381390005744
2020,080076,Arenys de Munt,educació superior,total,població de 25 a 64 anys,,2130,34090808007,Arenys de Munt,41.88790560471977
2020,170101,Argelaguer,educació superior,total,població de 25 a 64 anys,,115,34091717010,Argelaguer,52.27272727272727
2020,080082,Argençola,educació superior,total,població de 25 a 64 anys,,70,34090808008,Argençola,56.00000000000001
2020,430173,"Argentera, l'",educació superior,total,població de 25 a 64 anys,,40,34094343017,L'Argentera,57.14285714285714
2020,080095,Argentona,educació superior,total,població de 25 a 64 anys,,3160,34090808009,Argentona,46.165084002921844
2020,170118,"Armentera, l'",educació superior,total,població de 25 a 64 anys,,245,34091717011,L'Armentera,45.794392523364486
2020,430189,Arnes,educació superior,total,població de 25 a 64 anys,,70,34094343018,Arnes,35.8974358974359
2020,250313,Arres,educació superior,total,població de 25 a 64 anys,,25,34092525031,Arres,55.55555555555556
2020,250328,Arsèguel,educació superior,total,població de 25 a 64 anys,,20,34092525032,Arsèguel,44.44444444444444
2020,080109,Artés,educació superior,total,població de 25 a 64 anys,,1130,34090808010,Artés,35.14774494556765
2020,250334,Artesa de Lleida,educació superior,total,població de 25 a 64 anys,,330,34092525033,Artesa de Lleida,37.28813559322034
2020,250349,Artesa de Segre,educació superior,total,població de 25 a 64 anys,,565,34092525034,Artesa de Segre,30.376344086021508
2020,430192,Ascó,educació superior,total,població de 25 a 64 anys,,370,34094343019,Ascó,41.11111111111111
2020,250365,Aspa,educació superior,total,població de 25 a 64 anys,,50,34092525036,Aspa,45.45454545454545
2020,250371,"Avellanes i Santa Linya, les",educació superior,total,població de 25 a 64 anys,,75,34092525037,Les Avellanes i Santa Linya,35.714285714285715
2020,080116,Avià,educació superior,total,població de 25 a 64 anys,,605,34090808011,Avià,49.794238683127574
2020,080121,Avinyó,educació superior,total,població de 25 a 64 anys,,380,34090808012,Avinyó,30.76923076923077
2020,170123,Avinyonet de Puigventós,educació superior,total,població de 25 a 64 anys,,315,34091717012,Avinyonet de Puigventós,33.1578947368421
2020,080137,Avinyonet del Penedès,educació superior,total,població de 25 a 64 anys,,370,34090808013,Avinyonet del Penedès,38.34196891191709
2020,080155,Badalona,educació superior,total,població de 25 a 64 anys,,40830,34090808015,Badalona,33.16680882173754
2020,089045,Badia del Vallès,educació superior,total,població de 25 a 64 anys,,1435,34090808904,Badia del Vallès,19.834139599170697
2020,080168,Bagà,educació superior,total,població de 25 a 64 anys,,470,34090808016,Bagà,40.869565217391305
2020,250390,Baix Pallars,educació superior,total,població de 25 a 64 anys,,105,34092525039,Baix Pallars,55.26315789473685
2020,250404,Balaguer,educació superior,total,població de 25 a 64 anys,,2715,34092525040,Balaguer,28.429319371727747
2020,080174,Balenyà,educació superior,total,població de 25 a 64 anys,,670,34090808017,Balenyà,30.454545454545457
2020,080180,Balsareny,educació superior,total,població de 25 a 64 anys,,590,34090808018,Balsareny,32.86908077994429
2020,430206,Banyeres del Penedès,educació superior,total,població de 25 a 64 anys,,550,34094343020,Banyeres del Penedès,31.25
2020,170157,Banyoles,educació superior,total,població de 25 a 64 anys,,4225,34091717015,Banyoles,39.08418131359852
2020,250411,Barbens,educació superior,total,població de 25 a 64 anys,,105,34092525041,Barbens,21.21212121212121
2020,430213,Barberà de la Conca,educació superior,total,població de 25 a 64 anys,,85,34094343021,Barberà de la Conca,34.69387755102041
2020,082520,Barberà del Vallès,educació superior,total,població de 25 a 64 anys,,7740,34090808252,Barberà del Vallès,41.05011933174224
2020,080193,Barcelona,educació superior,total,població de 25 a 64 anys,,551240,34090808019,Barcelona,58.15688136308488
2020,250426,"Baronia de Rialb, la",educació superior,total,població de 25 a 64 anys,,55,34092525042,La Baronia de Rialb,45.83333333333333
2020,170160,Bàscara,educació superior,total,població de 25 a 64 anys,,190,34091717016,Bàscara,34.862385321100916
2020,250447,Bassella,educació superior,total,població de 25 a 64 anys,,50,34092525044,Bassella,43.47826086956522
2020,430228,Batea,educació superior,total,població de 25 a 64 anys,,225,34094343022,Batea,24.456521739130434
2020,250450,Bausen,educació superior,total,població de 25 a 64 anys,,15,34092525045,Bausen,50.0
2020,080207,Begues,educació superior,total,població de 25 a 64 anys,,2395,34090808020,Begues,59.28217821782178
2020,170139,Begur,educació superior,total,població de 25 a 64 anys,,895,34091717013,Begur,40.497737556561084
2020,250463,Belianes,educació superior,total,població de 25 a 64 anys,,90,34092525046,Belianes,36.734693877551024
2020,251706,Bellaguarda,educació superior,total,població de 25 a 64 anys,,45,34092525170,Bellaguarda,30.0
2020,170182,Bellcaire d'Empordà,educació superior,total,població de 25 a 64 anys,,150,34091717018,Bellcaire d'Empordà,40.54054054054054
2020,250479,Bellcaire d'Urgell,educació superior,total,població de 25 a 64 anys,,240,34092525047,Bellcaire d'Urgell,38.4
2020,250485,Bell-lloc d'Urgell,educació superior,total,població de 25 a 64 anys,,490,34092525048,Bell-lloc d'Urgell,38.88888888888889
2020,250498,Bellmunt d'Urgell,educació superior,total,població de 25 a 64 anys,,35,34092525049,Bellmunt d'Urgell,35.0
2020,430234,Bellmunt del Priorat,educació superior,total,població de 25 a 64 anys,,45,34094343023,Bellmunt del Priorat,30.0
2020,080214,Bellprat,educació superior,total,població de 25 a 64 anys,,20,34090808021,Bellprat,57.14285714285714
2020,250501,Bellpuig,educació superior,total,població de 25 a 64 anys,,905,34092525050,Bellpuig,30.166666666666668
2020,430249,Bellvei,educació superior,total,població de 25 a 64 anys,,330,34094343024,Bellvei,26.82926829268293
2020,250518,Bellver de Cerdanya,educació superior,total,població de 25 a 64 anys,,515,34092525051,Bellver de Cerdanya,45.982142857142854
2020,250523,Bellvís,educació superior,total,població de 25 a 64 anys,,400,34092525052,Bellvís,33.755274261603375
2020,250539,Benavent de Segrià,educació superior,total,població de 25 a 64 anys,,425,34092525053,Benavent de Segrià,49.41860465116279
2020,430252,Benifallet,educació superior,total,població de 25 a 64 anys,,120,34094343025,Benifallet,32.0
2020,430265,Benissanet,educació superior,total,població de 25 a 64 anys,,190,34094343026,Benissanet,29.230769230769234
2020,080229,Berga,educació superior,total,població de 25 a 64 anys,,3495,34090808022,Berga,38.34339001645639
2020,170195,Besalú,educació superior,total,població de 25 a 64 anys,,520,34091717019,Besalú,40.0
2020,170209,Bescanó,educació superior,total,població de 25 a 64 anys,,1205,34091717020,Bescanó,43.89799635701275
2020,170216,Beuda,educació superior,total,població de 25 a 64 anys,,55,34091717021,Beuda,45.83333333333333
2020,250557,Biosca,educació superior,total,població de 25 a 64 anys,,35,34092525055,Biosca,38.88888888888889
2020,170221,"Bisbal d'Empordà, la",educació superior,total,població de 25 a 64 anys,,1775,34091717022,La Bisbal d'Empordà,28.885272579332792
2020,430271,"Bisbal de Falset, la",educació superior,total,població de 25 a 64 anys,,35,34094343027,La Bisbal de Falset,33.33333333333333
2020,430287,"Bisbal del Penedès, la",educació superior,total,població de 25 a 64 anys,,500,34094343028,La Bisbal del Penedès,24.449877750611247
2020,172348,Biure,educació superior,total,població de 25 a 64 anys,,40,34091717234,Biure,30.76923076923077
2020,430290,Blancafort,educació superior,total,població de 25 a 64 anys,,95,34094343029,Blancafort,46.34146341463415
2020,170237,Blanes,educació superior,total,població de 25 a 64 anys,,7275,34091717023,Blanes,32.5721961047683
2020,170293,Boadella i les Escaules,educació superior,total,població de 25 a 64 anys,,55,34091717029,Boadella i les Escaules,33.33333333333333
2020,170242,Bolvir,educació superior,total,població de 25 a 64 anys,,115,34091717024,Bolvir,51.11111111111111
2020,430304,Bonastre,educació superior,total,població de 25 a 64 anys,,140,34094343030,Bonastre,35.0
2020,170255,Bordils,educació superior,total,població de 25 a 64 anys,,390,34091717025,Bordils,39.59390862944163
2020,250582,"Borges Blanques, les",educació superior,total,població de 25 a 64 anys,,1125,34092525058,Les Borges Blanques,34.56221198156682
2020,430311,"Borges del Camp, les",educació superior,total,població de 25 a 64 anys,,365,34094343031,Les Borges del Camp,33.33333333333333
2020,170268,Borrassà,educació superior,total,població de 25 a 64 anys,,185,34091717026,Borrassà,45.1219512195122
2020,080240,Borredà,educació superior,total,població de 25 a 64 anys,,110,34090808024,Borredà,43.13725490196079
2020,250595,Bossòst,educació superior,total,població de 25 a 64 anys,,215,34092525059,Bossòst,32.57575757575758
2020,430326,Bot,educació superior,total,població de 25 a 64 anys,,70,34094343032,Bot,26.923076923076923
2020,430332,Botarell,educació superior,total,població de 25 a 64 anys,,245,34094343033,Botarell,39.516129032258064
2020,250560,Bovera,educació superior,total,població de 25 a 64 anys,,30,34092525056,Bovera,24.0
2020,430347,Bràfim,educació superior,total,població de 25 a 64 anys,,150,34094343034,Bràfim,40.0
2020,170274,Breda,educació superior,total,població de 25 a 64 anys,,700,34091717027,Breda,34.48275862068966
2020,080253,"Bruc, el",educació superior,total,població de 25 a 64 anys,,590,34090808025,El Bruc,46.82539682539682
2020,080266,"Brull, el",educació superior,total,població de 25 a 64 anys,,75,34090808026,El Brull,57.692307692307686
2020,430350,Cabacés,educació superior,total,població de 25 a 64 anys,,45,34094343035,Cabacés,29.03225806451613
2020,250609,Cabanabona,educació superior,total,població de 25 a 64 anys,,20,34092525060,Cabanabona,50.0
2020,170314,Cabanelles,educació superior,total,població de 25 a 64 anys,,60,34091717031,Cabanelles,41.37931034482759
2020,170307,Cabanes,educació superior,total,població de 25 a 64 anys,,150,34091717030,Cabanes,29.411764705882355
2020,080272,"Cabanyes, les",educació superior,total,població de 25 a 64 anys,,240,34090808027,Les Cabanyes,44.85981308411215
2020,250616,Cabó,educació superior,total,població de 25 a 64 anys,,15,34092525061,Cabó,30.0
2020,430363,Cabra del Camp,educació superior,total,població de 25 a 64 anys,,190,34094343036,Cabra del Camp,29.00763358778626
2020,080288,Cabrera d'Anoia,educació superior,total,població de 25 a 64 anys,,265,34090808028,Cabrera d'Anoia,28.64864864864865
2020,080291,Cabrera de Mar,educació superior,total,població de 25 a 64 anys,,1665,34090808029,Cabrera de Mar,61.89591078066915
2020,080305,Cabrils,educació superior,total,població de 25 a 64 anys,,2555,34090808030,Cabrils,62.622549019607845
2020,170329,Cadaqués,educació superior,total,població de 25 a 64 anys,,420,34091717032,Cadaqués,26.41509433962264
2020,080312,Calaf,educació superior,total,població de 25 a 64 anys,,555,34090808031,Calaf,29.365079365079367
2020,430379,Calafell,educació superior,total,població de 25 a 64 anys,,5470,34094343037,Calafell,35.64679048550016
2020,080348,Calders,educació superior,total,població de 25 a 64 anys,,315,34090808034,Calders,51.63934426229508
2020,080327,Caldes d'Estrac,educació superior,total,població de 25 a 64 anys,,885,34090808032,Caldes d'Estrac,53.31325301204819
2020,170335,Caldes de Malavella,educació superior,total,població de 25 a 64 anys,,1525,34091717033,Caldes de Malavella,34.69852104664392
2020,080333,Caldes de Montbui,educació superior,total,població de 25 a 64 anys,,4230,34090808033,Caldes de Montbui,42.96597257491112
2020,080351,Calella,educació superior,total,població de 25 a 64 anys,,3935,34090808035,Calella,37.03529411764706
2020,080370,Calldetenes,educació superior,total,població de 25 a 64 anys,,580,34090808037,Calldetenes,40.55944055944056
2020,080386,Callús,educació superior,total,població de 25 a 64 anys,,475,34090808038,Callús,40.08438818565401
2020,080364,Calonge de Segarra,educació superior,total,població de 25 a 64 anys,,45,34090808036,Calonge de Segarra,45.0
2020,250621,Camarasa,educació superior,total,població de 25 a 64 anys,,180,34092525062,Camarasa,41.37931034482759
2020,439039,Camarles,educació superior,total,població de 25 a 64 anys,,375,34094343903,Camarles,21.613832853025936
2020,430385,Cambrils,educació superior,total,població de 25 a 64 anys,,7775,34094343038,Cambrils,39.67848941056392
2020,170353,Camós,educació superior,total,població de 25 a 64 anys,,140,34091717035,Camós,40.57971014492754
2020,170366,Campdevànol,educació superior,total,població de 25 a 64 anys,,595,34091717036,Campdevànol,35.52238805970149
2020,170372,Campelles,educació superior,total,població de 25 a 64 anys,,40,34091717037,Campelles,50.0
2020,080399,Campins,educació superior,total,població de 25 a 64 anys,,180,34090808039,Campins,56.25
2020,170388,Campllong,educació superior,total,població de 25 a 64 anys,,140,34091717038,Campllong,47.45762711864407
2020,170391,Camprodon,educació superior,total,població de 25 a 64 anys,,520,34091717039,Camprodon,41.935483870967744
2020,250637,Canejan,educació superior,total,població de 25 a 64 anys,,15,34092525063,Canejan,27.27272727272727
2020,170405,Canet d'Adri,educació superior,total,població de 25 a 64 anys,,190,34091717040,Canet d'Adri,48.10126582278481
2020,080403,Canet de Mar,educació superior,total,població de 25 a 64 anys,,3320,34090808040,Canet de Mar,41.26786824114357
